Уникальный ID записи,ID причала,Название причала,Название судна - отсутсвует если отменено,Название маршрута ,Швартовочное место,Дата начала действия записи расписания в UTC,Дата окончания действиязаписи  расписания в UTC,Время подхода судна в минутах от начала суток,Время отхода судна в минутах от начала суток,Время стоянки,Название судна которое было отменено,"Тип записи - пустое знеачение если изменений нет, Отмена - судно отменено",Дата начала действия записи расписания ,Дата окончания действия записи расписания,Причаливание/подход,Отход
1093216,45,Воробьевы горы,Алина Браво,Северный 1А,A,1719954000,1731790800,1,5,4,,,2024-07-03,2024-11-17,12:01:00 AM,12:05:00 AM
1094166,32,Нескучный сад,М-250,Исторический,C,1719954000,1731790800,1,5,4,,,2024-07-03,2024-11-17,12:01:00 AM,12:05:00 AM
1094538,32,Нескучный сад,Москва-24,Северный,B,1719954000,1731790800,1,4,3,,,2024-07-03,2024-11-17,12:01:00 AM,12:04:00 AM
1094264,45,Воробьевы горы,Снегири-3,Исторический,B,1719954000,1731790800,2,12,10,,,2024-07-03,2024-11-17,12:02:00 AM,12:12:00 AM
1094148,47,Красный октябрь,Москва-28,Исторический,A,1719954000,1731790800,4,8,4,,,2024-07-03,2024-11-17,12:04:00 AM,12:08:00 AM
1094432,32,Нескучный сад,Москва-46,Северный,A,1719954000,1731790800,4,8,4,,,2024-07-03,2024-11-17,12:04:00 AM,12:08:00 AM
1092064,46,Киевский,Фортуна,Северный,A,1719867600,1731790800,5,15,7,,,2024-07-02,2024-11-17,12:05:00 AM,12:15:00 AM
1092124,50,Китай-город,Удача,Северный 1А,C,1719867600,1731790800,5,15,7,,,2024-07-02,2024-11-17,12:05:00 AM,12:15:00 AM
1092134,32,Нескучный сад,Романтика,Северный 1А,B,1719867600,1731790800,8,11,3,,,2024-07-02,2024-11-17,12:08:00 AM,12:11:00 AM
1094960,45,Воробьевы горы,Снегири-2,Северный,A,1719954000,1731790800,9,13,4,,,2024-07-03,2024-11-17,12:09:00 AM,12:13:00 AM
922133,33,Крымский мост,Морис,Разовый подход,B,1715288400,1731790800,10,20,10,,,2024-05-10,2024-11-17,12:10:00 AM,12:20:00 AM
1092098,32,Нескучный сад,Счастье,Северный 1А,A,1719867600,1731790800,11,15,4,,,2024-07-02,2024-11-17,12:11:00 AM,12:15:00 AM
1093374,46,Киевский,Рио,Северный 1А,B,1719954000,1731790800,12,22,10,,,2024-07-03,2024-11-17,12:12:00 AM,12:22:00 AM
1091521,50,Китай-город,Снегири-4,Северный,B,1719867600,1731790800,13,23,10,,,2024-07-02,2024-11-17,12:13:00 AM,12:23:00 AM
1094142,49,Новоспасский,Полковник Новгородов,Исторический,B,1719954000,1731790800,14,17,3,,,2024-07-03,2024-11-17,12:14:00 AM,12:17:00 AM
843839,32,Нескучный сад,Чижик-II,Исторический,C,1725310800,1731790800,16,20,4,,,2024-09-03,2024-11-17,12:16:00 AM,12:20:00 AM
844205,32,Нескучный сад,,Исторический,C,1727730000,1727989200,16,20,4,Чижик-II,Отмена,2024-10-01,2024-10-04,12:16:00 AM,12:20:00 AM
1093234,45,Воробьевы горы,Капитан Смолик,Северный 1А,A,1719954000,1731790800,16,20,4,,,2024-07-03,2024-11-17,12:16:00 AM,12:20:00 AM
844843,45,Воробьевы горы,Олимпиада,Исторический,B,1719435600,1731790800,17,27,10,,,2024-06-27,2024-11-17,12:17:00 AM,12:27:00 AM
808816,32,Нескучный сад,Добрыня,Северный,A,1713906000,1731790800,19,23,4,,,2024-04-24,2024-11-17,12:19:00 AM,12:23:00 AM
862586,32,Нескучный сад,,Северный,A,1713906000,1731790800,19,23,4,Добрыня,Отмена,2024-04-24,2024-11-17,12:19:00 AM,12:23:00 AM
