id,dock.id,dock.name,ship.name,route.nameroute,position.berth_letter,timetable.startdate,timetable.enddate,timetable.starttime,timetable.endtime,timetable.duration,changed_schedule.ship_name,changed_schedule.type,schedule_start,schedule_end,arrival_time,departure_time,latitude,longitude,hour,distance_km
1094166,32,Нескучный сад,М-250,Исторический,C,1719954000,1731790800,1.0,5,4,,,7/3/2024,11/17/2024,1900-01-01 00:01:00,12:05:00 AM,37.590694,55.722427,0.0,0.0
1096896,32,Нескучный сад,,Исторический,C,1719954000,1719954000,1.0,5,4,М-250,Отмена,7/3/2024,7/3/2024,1900-01-01 00:01:00,12:05:00 AM,37.590694,55.722427,0.0,4.96803942291709
1094264,45,Воробьевы горы,Снегири-3,Исторический,B,1719954000,1731790800,2.0,12,10,,,7/3/2024,11/17/2024,1900-01-01 00:02:00,12:12:00 AM,37.546826,55.711738,0.0,0.0
1097835,45,Воробьевы горы,,Исторический,B,1719954000,1719954000,2.0,12,10,Снегири-3,Отмена,7/3/2024,7/3/2024,1900-01-01 00:02:00,12:12:00 AM,37.546826,55.711738,0.0,7.68038482579849
1094148,47,Красный октябрь,Москва-28,Исторический,A,1719954000,1731790800,4.0,8,4,,,7/3/2024,11/17/2024,1900-01-01 00:04:00,12:08:00 AM,37.610627,55.745129,0.0,0.0
1096884,47,Красный октябрь,,Исторический,A,1719954000,1719954000,4.0,8,4,Москва-28,Отмена,7/3/2024,7/3/2024,1900-01-01 00:04:00,12:08:00 AM,37.610627,55.745129,0.0,4.931737367470371
1094142,49,Новоспасский,Полковник Новгородов,Исторический,B,1719954000,1731790800,14.0,17,3,,,7/3/2024,11/17/2024,1900-01-01 00:14:00,12:17:00 AM,37.653392,55.730281,0.0,0.0
1096759,49,Новоспасский,,Исторический,B,1719954000,1719954000,14.0,17,3,Полковник Новгородов,Отмена,7/3/2024,7/3/2024,1900-01-01 00:14:00,12:17:00 AM,37.653392,55.730281,0.0,7.005931218731348
843837,32,Нескучный сад,Чижик-II,Исторический,C,1725138000,1725138000,16.0,20,4,,,9/1/2024,9/1/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
843838,32,Нескучный сад,,Исторический,C,1725224400,1725224400,16.0,20,4,,,9/2/2024,9/2/2024,1900-01-01 00:16:00,12:20:00 AM,37.590694,55.722427,0.0,0.0
